Title,Anger,Fear,Joy,Love,Sadness,Surprise,Protagonist Roles,Time Period,Dominant Time of Day,Genres
Hes Just Not That Into You,0.002095606,0.001083845,0.984983861,0.008568132,0.0026885,0.000580023,Realist,Past,Nighttime,"['Romance', 'Comedy', 'Drama']"
Hesher,0.07212311,0.853238463,0.004715633,0.00074829,0.059858993,0.009315519,Detective/Spy,Past,Daytime,['Drama']
High Fidelity,0.766606092,0.155860111,0.005433667,0.001037558,0.070163459,0.000899139,Comedian,Past,Daytime,"['Romance', 'Comedy', 'Drama']"
Highlander Endgame,0.649677217,0.246040151,0.06995786,0.008624559,0.023338275,0.002362022,Comedian,Past,Nighttime,"['Adventure', 'Fantasy', 'Sci-Fi', 'Action']"
Highlander,0.423747092,0.459826291,0.083804257,0.004599818,0.023662074,0.004360449,Realist,Past,Nighttime,"['Fantasy', 'Action']"
His Girl Friday,0.495659918,0.290508986,0.185196444,0.004937652,0.017004034,0.006692953,Detective/Spy,Past,Daytime,"['Romance', 'Comedy', 'Drama']"
Hitchcock,0.313111216,0.074142359,0.012805141,0.002056571,0.596048653,0.001836028,Realist,Past,Daytime,['Drama']
Hollow Man,0.002101306,0.995354772,0.000445017,0.000166057,0.001107892,0.000825067,Detective/Spy,Past,Daytime,"['Thriller', 'Horror', 'Sci-Fi']"
Honeydripper,0.010820486,0.969832063,0.000608541,0.000436732,0.000962407,0.017339768,Detective/Spy,Past,Nighttime,['Drama']
Horrible Bosses,0.000912334,0.00104651,0.000605072,0.000199955,0.997053385,0.000182704,Monster/Killer/Victim,Past,Daytime,"['Crime', 'Comedy']"
Hostage,0.022342697,0.973590553,0.001491427,0.000297004,0.001623714,0.000654619,Realist,Past,Daytime,"['Thriller', 'Crime', 'Drama', 'Action']"
Hot Tub Time Machine,0.006034953,0.001350191,0.946819186,0.041485012,0.003162518,0.001148173,Detective/Spy,Past,Daytime,"['Comedy', 'Sci-Fi']"
Hotel Rwanda,0.841832995,0.130305499,0.010870751,0.001030351,0.014597214,0.001363243,Realist,Past,Daytime,"['Thriller', 'War', 'Drama']"
House of 1000 Corpses,0.032629732,0.011888648,0.012208776,0.005856172,0.93626231,0.001154433,Realist,Past,Daytime,['Horror']
How to Train Your Dragon 2,0.005834269,0.012578969,0.789348066,0.003550508,0.006049868,0.182638332,Detective/Spy,Past,Daytime,"['Adventure', 'Action']"
How to Train Your Dragon,0.004124307,0.001409082,0.9891783,0.003270173,0.001119792,0.000898331,Detective/Spy,Past,Daytime,"['Adventure', 'Comedy']"
Hudson Hawk,0.001524172,0.000826097,0.99462527,0.00063344,0.000861168,0.001529937,Detective/Spy,Past,Daytime,"['Comedy', 'Crime', 'Adventure', 'Action']"
Human Nature,0.861663878,0.04365338,0.00596096,0.001111799,0.086808413,0.000801657,Realist,Past,Daytime,['Comedy']
I Am Number Four,0.040289491,0.940740347,0.007726567,0.00369694,0.0047704,0.00277622,Superhuman/Scientist/Alien/Robot,Present,Nighttime,"['Thriller', 'Sci-Fi', 'Action']"
I am Sam,0.217233419,0.014039813,0.744790494,0.006726709,0.015334801,0.001874748,Detective/Spy,Past,Daytime,['Drama']
I Love You Phillip Morris,0.020036669,0.010829597,0.961599112,0.001958661,0.004008366,0.001567612,Detective/Spy,Past,Daytime,"['Romance', 'Comedy', 'Drama']"
I Robot,0.019502033,0.905728102,0.014066336,0.000741986,0.058611862,0.001349717,Fighter,Present,Daytime,"['Thriller', 'Sci-Fi', 'Action']"
I Spit on Your Grave,0.111910902,0.447074741,0.166626692,0.003729401,0.265107065,0.005551232,Detective/Spy,Present,Daytime,"['Thriller', 'Crime', 'Horror']"
I Still Know What You Did Last Summer,0.129538849,0.10523919,0.015805628,0.00223636,0.746066749,0.001113232,Monster/Killer/Victim,Past,Daytime,"['Thriller', 'Horror']"
Ill Do Anything,0.120173298,0.836654961,0.031877059,0.002278826,0.00576754,0.003248316,Detective/Spy,Past,Daytime,"['Comedy', 'Drama']"
In the Bedroom,0.045965999,0.013529374,0.900646627,0.030954191,0.004978274,0.003925443,Detective/Spy,Past,Daytime,"['Crime', 'Drama']"
In the Loop,0.183430955,0.034285247,0.719996572,0.004022378,0.055819925,0.002444971,Realist,Present,Nighttime,['Comedy']
Inception,0.01615349,0.969420314,0.004846413,0.000723753,0.005942614,0.002913527,Monster/Killer/Victim,Present,Daytime,"['Adventure', 'Action']"
Independence Day,0.013097258,0.942634046,0.008806549,0.00108671,0.019748632,0.014626754,Detective/Spy,Present,Daytime,"['Sci-Fi', 'Action']"
Indiana Jones and the Last Crusade,0.068105996,0.828939497,0.087171771,0.002123031,0.005409925,0.008249718,Realist,Past,Nighttime,"['Adventure', 'Action']"
Indiana Jones and the Raiders of the Lost Ark,0.003814915,0.994473279,0.000454102,0.000168176,0.000576018,0.000513493,Soldier,Present,Daytime,"['Adventure', 'Action']"
Indiana Jones and the Temple of Doom,0.029191962,0.093534194,0.49685055,0.097311333,0.016763506,0.266348511,Detective/Spy,Past,Nighttime,"['Adventure', 'Action']"
Indiana Jones IV,0.00800417,0.985488474,0.003530193,0.000389677,0.001699764,0.000887625,Detective/Spy,Past,Nighttime,"['Adventure', 'Action']"
Inglourious Basterds,0.815650642,0.132709533,0.017294763,0.00247125,0.030200152,0.001673703,Realist,Past,Nighttime,"['Adventure', 'War', 'Action']"
Insidious,0.022053359,0.962886035,0.006440625,0.000712987,0.00618045,0.001726646,Fighter,Present,Daytime,"['Thriller', 'Horror']"
Insomnia,0.017306138,0.022951297,0.013094245,0.177062199,0.767176628,0.002409444,Soldier,Past,Daytime,"['Thriller', 'Crime', 'Drama']"
Interstellar,0.076700412,0.122811839,0.700650632,0.002932691,0.015798103,0.08110626,Fighter,Present,Daytime,"['Adventure', 'Drama', 'Sci-Fi']"
Interview with the Vampire,0.004773865,0.067094818,0.044557687,0.002825463,0.002640453,0.878107727,Law Person/Outlaw,Past,Nighttime,"['Horror', 'Drama']"
Into the Wild,0.399013132,0.539730787,0.036073264,0.003476147,0.018993929,0.002712713,Detective/Spy,Past,Daytime,"['Adventure', 'Drama']"
Into the Woods,0.296198785,0.315028727,0.058675174,0.004973712,0.321185231,0.003938432,Realist,Present,Daytime,"['Adventure', 'Comedy', 'Drama']"
Intolerable Cruelty,0.956188917,0.012571701,0.015433217,0.004221863,0.010851935,0.000732368,Monster/Killer/Victim,Past,Daytime,"['Crime', 'Comedy', 'Romance']"
Inventing the Abbotts,0.008165099,0.002582348,0.985361576,0.001291206,0.001754598,0.000845325,Detective/Spy,Past,Daytime,"['Romance', 'Drama']"
Invictus,0.889038503,0.005818463,0.05528111,0.002607981,0.046339244,0.000914693,Child,Past,Daytime,['Drama']
It Happened One Night,0.385458231,0.573964655,0.029268675,0.001788266,0.007173193,0.002347028,Detective/Spy,Past,Daytime,"['Comedy', 'Romance']"
It,0.361156374,0.035340611,0.582287133,0.005595986,0.013539176,0.00208069,Detective/Spy,Past,Daytime,"['Thriller', 'Horror', 'Drama']"
Its a Wonderful Life,0.006949876,0.007554854,0.602985382,0.008309061,0.373048246,0.001152514,Detective/Spy,Past,Nighttime,"['Romance', 'Fantasy', 'Drama', 'Family']"
Its Complicated,0.000352827,0.00015174,0.995422304,0.003245613,0.000579537,0.000247997,Detective/Spy,Past,Daytime,"['Comedy', 'Romance']"
Jackie Brown,0.002922327,0.002627857,0.984253466,0.004610329,0.00224451,0.003341528,Detective/Spy,Future,Daytime,"['Crime', 'Comedy']"
Jacobs Ladder,0.029721558,0.964002371,0.00168599,0.000392481,0.001822458,0.002375169,Child,Present,Daytime,"['Thriller', 'Drama']"
Jane Eyre,0.004987913,0.397440195,0.002992155,0.001408412,0.007933808,0.585237563,Detective/Spy,Past,Daytime,"['Romance', 'Drama']"
Jason X,0.089307174,0.873456419,0.015493166,0.001685502,0.016764013,0.003293786,Fighter,Future,Daytime,"['Thriller', 'Horror', 'Sci-Fi', 'Action']"
Jaws 2,0.067897245,0.818996787,0.070416465,0.007939491,0.006555073,0.028194999,Fighter,Past,Daytime,"['Thriller', 'Adventure', 'Horror']"
Jaws,0.126461759,0.09942098,0.580750108,0.012049165,0.171579868,0.009738152,Detective/Spy,Past,Daytime,"['Thriller', 'Adventure', 'Horror']"
Jay and Silent Bob Strike Back,0.929061949,0.033644106,0.029562535,0.0012272,0.004173353,0.002330818,Detective/Spy,Present,Daytime,"['Adventure', 'Comedy']"
Jennifer Eight,0.025918102,0.024293793,0.871902883,0.003117083,0.007821405,0.066946775,Realist,Past,Daytime,['Thriller']
Jennifers Body,0.000967761,0.005892671,0.000727317,0.001143454,0.990818262,0.000450569,Detective/Spy,Past,Nighttime,"['Thriller', 'Comedy', 'Horror']"
Jerry Maguire,0.011638282,0.003916756,0.979112625,0.001059302,0.003521868,0.000751092,Law Person/Outlaw,Future,Daytime,"['Romance', 'Comedy', 'Drama']"
Jeux Interdits,0.245225742,0.115288936,0.567495406,0.01145746,0.051129509,0.009402927,Realist,Past,Nighttime,"['War', 'Drama']"
JFK,0.076618403,0.011455734,0.01142846,0.001199457,0.898740172,0.000557852,Detective/Spy,Past,Daytime,"['Thriller', 'Crime', 'Drama']"
Jimmy and Judy,0.821538091,0.017286859,0.018006468,0.001784039,0.139930069,0.001454387,Detective/Spy,Present,Daytime,['Action']
John Q,0.362615764,0.092386648,0.439450711,0.011641292,0.056581009,0.037324607,Realist,Past,Daytime,"['Thriller', 'Crime', 'Drama']"
John Wick,0.000327819,0.000369369,0.000465807,0.000184544,0.998513997,0.000138581,Detective/Spy,Past,Nighttime,"['Thriller', 'Crime', 'Action']"
Joker,0.004566856,0.002535939,0.005678524,0.000580095,0.986281455,0.000357185,Detective/Spy,Past,Daytime,"['Thriller', 'Crime', 'Drama']"
Judge Dredd,0.994579434,0.000912872,0.000704812,0.000301756,0.003318548,0.000182741,Superhuman/Scientist/Alien/Robot,Past,Daytime,"['Crime', 'Sci-Fi', 'Action']"
Juno,0.398504227,0.463980883,0.079236634,0.003513874,0.047500174,0.00726418,Realist,Past,Daytime,"['Romance', 'Comedy', 'Drama']"
Jurassic Park III,0.045344722,0.238064289,0.694564104,0.004669785,0.00999624,0.007360878,Fighter,Present,Daytime,"['Action', 'Thriller', 'Horror', 'Adventure', 'Sci-Fi']"
Jurassic Park The Lost World,0.080631122,0.24980785,0.555434585,0.002819194,0.021022048,0.090285204,Realist,Present,Daytime,"['Action', 'Thriller', 'Horror', 'Adventure', 'Sci-Fi']"
Jurassic Park,0.039288584,0.772996902,0.068249188,0.003170015,0.010296766,0.105998501,Soldier,Present,Daytime,"['Action', 'Thriller', 'Horror', 'Adventure', 'Sci-Fi']"
Kafka,0.003126481,0.989312947,0.000921627,0.000211892,0.003217075,0.003209978,Detective/Spy,Present,Daytime,['Drama']
Kalifornia,0.00394233,0.96721071,0.005546932,0.000585679,0.0113549,0.011359383,Detective/Spy,Past,Daytime,"['Thriller', 'Crime']"
Kids,0.480787158,0.160098791,0.305986494,0.021784611,0.023519095,0.00782388,Realist,Present,Daytime,['Drama']
Kill Your Darlings,0.00168366,0.987733364,0.000390869,0.000330815,0.00072665,0.00913466,Law Person/Outlaw,Past,Daytime,"['Romance', 'Drama']"
Killing Zoe,0.239431158,0.067555264,0.670228958,0.004796269,0.014545365,0.003443016,Detective/Spy,Past,Daytime,"['Thriller', 'Crime', 'Drama']"
King Kong,0.017772207,0.010233213,0.002310981,0.000554282,0.968360543,0.00076887,Child,Past,Daytime,"['Thriller', 'Adventure', 'Drama', 'Action']"
Klute,0.170633093,0.096877828,0.683959126,0.005636201,0.03874252,0.004151358,Child,Present,Daytime,"['Thriller', 'Crime', 'Drama']"
Knocked Up,0.729372621,0.244106323,0.007746251,0.000986263,0.016398156,0.001390353,Detective/Spy,Present,Daytime,"['Romance', 'Comedy', 'Drama']"
Kramer vs Kramer,0.004197044,0.991982877,0.001163264,0.000200101,0.001939134,0.000517624,Detective/Spy,Past,Daytime,['Drama']
Kundun,0.713667035,0.15289107,0.082151614,0.005043471,0.043406822,0.00284001,Child,Past,Daytime,['Drama']
Kung Fu Panda,0.083041944,0.012210563,0.889016986,0.003319893,0.005232081,0.007178509,Child,Past,Daytime,"['Comedy', 'Action', 'Family']"
L.A. Confidential,0.014825461,0.00280028,0.976683974,0.002087591,0.002432307,0.001170399,Realist,Past,Daytime,"['Thriller', 'Crime', 'Drama']"
La La Land,0.184667468,0.675932586,0.027751086,0.003788213,0.093926899,0.01393372,Detective/Spy,Past,Daytime,"['Comedy', 'Drama']"
Labor of Love,0.114421695,0.152323231,0.005380787,0.001325769,0.721342325,0.005206099,Law Person/Outlaw,Past,Daytime,"['Romance', 'Drama']"
Labyrinth,0.000251077,0.000338124,0.991994023,0.004353858,0.000416966,0.002645931,Child,Past,Nighttime,"['Adventure', 'Fantasy', 'Family']"
Lake Placid,0.049870837,0.121973924,0.572297573,0.024003893,0.223636225,0.008217556,Monster/Killer/Victim,Past,Daytime,"['Thriller', 'Comedy', 'Horror', 'Action']"
Land of the Dead,0.035015404,0.192013785,0.017619405,0.001443437,0.75047338,0.003434672,Realist,Past,Daytime,"['Thriller', 'Horror', 'Action']"
Larry Crowne,0.033730973,0.003527106,0.953271925,0.004501726,0.003838803,0.001129486,Detective/Spy,Future,Daytime,"['Romance', 'Comedy', 'Drama']"
Last Chance Harvey,0.870433033,0.032370038,0.075149707,0.001715072,0.018443549,0.001888593,Detective/Spy,Future,Daytime,"['Romance', 'Drama']"
Last Tango in Paris,0.920158744,0.005914757,0.006253973,0.000727502,0.066362038,0.000582852,Realist,Past,Daytime,"['Romance', 'Drama']"
Law Abiding Citizen,0.001134791,0.982768834,0.001956918,0.000453119,0.004931428,0.008754875,Law Person/Outlaw,Past,Nighttime,"['Thriller', 'Crime', 'Drama']"
Le Diable par la Queue,0.403719574,0.119604655,0.418058753,0.010433882,0.040715467,0.007467682,Child,Past,Nighttime,['Comedy']
Leaving Las Vegas,0.004735271,0.001687216,0.990175784,0.001231068,0.001330832,0.000839897,Detective/Spy,Past,Nighttime,"['Romance', 'Drama']"
Legally Blonde,0.027250459,0.011866518,0.948956668,0.005789776,0.004150435,0.001986093,Soldier,Past,Daytime,['Comedy']
Legend,0.039695837,0.250114322,0.296768665,0.334220946,0.014430897,0.064769395,Monster/Killer/Victim,Past,Daytime,"['Adventure', 'Fantasy', 'Romance']"
Legion,0.98203665,0.003845967,0.006921106,0.001090834,0.005825131,0.000280332,Detective/Spy,Past,Daytime,"['Thriller', 'Fantasy', 'Horror', 'Action']"
Les Miserables,0.730450213,0.027416633,0.00544784,0.001693327,0.233730674,0.001261288,Realist,Past,Daytime,"['Romance', 'Drama']"
Les Tontons Flingueurs,0.444150716,0.123461016,0.378201276,0.011199795,0.035534486,0.007452656,Spouse/Lover/Ex,Past,Daytime,"['Crime', 'Comedy', 'Action']"
Leviathan,0.279270768,0.546440005,0.130521804,0.002293152,0.019793587,0.021680638,Detective/Spy,Past,Daytime,"['Thriller', 'Horror', 'Sci-Fi']"
Liar Liar,0.251313239,0.742654145,0.001702713,0.000572106,0.001688201,0.002069565,Realist,Past,Daytime,"['Comedy', 'Fantasy']"
Life As A House,0.170031324,0.026851743,0.045205269,0.002219176,0.754122078,0.001570454,Detective/Spy,Present,Daytime,"['Comedy', 'Drama']"
Life of Pi,0.021563172,0.895701885,0.044054367,0.001675276,0.003928352,0.033077005,Child,Past,Daytime,"['Adventure', 'Drama']"
Life,0.867327332,0.042971678,0.045827202,0.016937032,0.025494477,0.001442207,Detective/Spy,Past,Daytime,"['Comedy', 'Drama']"
Light Sleeper,0.022848871,0.96114397,0.010476021,0.001325143,0.003251314,0.00095471,Realist,Past,Daytime,['Drama']
Limitless,0.022184391,0.007489055,0.965521455,0.000970725,0.00238069,0.001453536,Monster/Killer/Victim,Present,Daytime,"['Thriller', 'Sci-Fi']"
Lincoln,0.252332389,0.297708631,0.012967117,0.002476146,0.431462228,0.003053433,Monster/Killer/Victim,Past,Daytime,['Drama']
Little Athens,0.041314922,0.032988407,0.888030827,0.01560723,0.017206216,0.004852513,Detective/Spy,Present,Nighttime,"['Comedy', 'Drama']"
Little Men,0.004033618,0.991209269,0.001165546,0.000274095,0.001575286,0.001742197,Fighter,Past,Daytime,['Drama']
Little Nicky,0.008704658,0.003539787,0.822475851,0.001735425,0.162319422,0.00122482,Fighter,Present,Daytime,"['Horror', 'Comedy', 'Fantasy']"
Living in Oblivion,0.007523531,0.037853401,0.001468705,0.000420394,0.951576114,0.001157881,Soldier,Past,Daytime,"['Comedy', 'Drama']"
Lock Stock and Two Smoking Barrels,0.003657276,0.001433954,0.988796592,0.00066872,0.004419188,0.001024329,Law Person/Outlaw,Present,Daytime,"['Thriller', 'Crime', 'Comedy']"
Logan,0.005136642,0.939047515,0.003717716,0.000529618,0.004521756,0.047046825,Detective/Spy,Past,Daytime,"['Drama', 'Sci-Fi', 'Action']"
Logans Run,0.014160493,0.95983988,0.012859213,0.000677923,0.004521423,0.007941063,Realist,Past,Daytime,"['Adventure', 'Sci-Fi', 'Action']"
Lone Star,0.041977543,0.028564621,0.015768753,0.001221681,0.911598623,0.000868837,Detective/Spy,Past,Daytime,"['Crime', 'Drama']"
Looper,0.618364215,0.25720039,0.02238776,0.002219131,0.097261809,0.002566702,Detective/Spy,Past,Daytime,"['Crime', 'Sci-Fi', 'Action']"
Lord of Illusions,0.762176692,0.218170166,0.005438388,0.001127414,0.011723204,0.001364171,Law Person/Outlaw,Present,Daytime,"['Thriller', 'Fantasy', 'Horror']"
Lord of the Rings Return of the King,0.261494935,0.617871523,0.09698306,0.003621487,0.017263904,0.002765139,Child,Past,Daytime,"['Adventure', 'Fantasy', 'Action']"
Lord of the Rings The Two Towers,0.251607537,0.530303001,0.0450509,0.004099392,0.16451548,0.004423649,Fighter,Present,Daytime,"['Adventure', 'Fantasy', 'Action']"
Lord of War,0.59893167,0.309008986,0.032380253,0.002974025,0.053147268,0.003557827,Realist,Past,Daytime,"['Thriller', 'Crime', 'Drama']"
Lost Highway,0.001940318,0.010540039,0.000989987,0.000278798,0.985694826,0.000556014,Comedian,Future,Nighttime,"['Thriller', 'Horror', 'Drama']"
Lost Horizon,0.322844625,0.113122493,0.091656908,0.00359455,0.463364393,0.005417061,Detective/Spy,Past,Daytime,"['Adventure', 'Fantasy', 'Drama', 'Sci-Fi']"
Lost in Space,0.017678676,0.219286352,0.066764191,0.003153597,0.023294019,0.66982317,Detective/Spy,Future,Daytime,"['Adventure', 'Sci-Fi', 'Action']"
Lost in Translation,0.061911907,0.020120919,0.884258449,0.01819559,0.006738795,0.008774406,Detective/Spy,Present,Daytime,"['Romance', 'Comedy', 'Drama']"
Love and Basketball,0.455869824,0.008318138,0.024294425,0.006922432,0.503796577,0.000798568,Comedian,Past,Daytime,"['Romance', 'Drama']"
Machete,0.979471803,0.018140055,0.000819471,0.000290601,0.000886165,0.000391868,Realist,Past,Daytime,"['Thriller', 'Action']"
Machine Gun Preacher,0.033560004,0.954924822,0.003503449,0.000507026,0.005637445,0.001867238,Detective/Spy,Past,Daytime,"['Crime', 'Action']"
Mad Max 2 The Road Warrior,0.004847825,0.965282738,0.000799726,0.000459611,0.002888686,0.025721354,Realist,Past,Daytime,"['Adventure', 'Sci-Fi', 'Action']"
Made,0.580643415,0.088730074,0.021252353,0.004281298,0.299981028,0.005111816,Monster/Killer/Victim,Past,Nighttime,"['Crime', 'Comedy', 'Drama']"
Magnolia,0.298513055,0.63442874,0.013069953,0.002222948,0.049171641,0.002593657,Fighter,Past,Daytime,['Drama']
Majestic The The Bijou,0.041948672,0.005713194,0.922311246,0.0259912,0.002533706,0.001501897,Comedian,Past,Daytime,"['Romance', 'Drama']"
Major League,0.002108095,0.000951741,0.987667561,0.000781036,0.007762807,0.000728774,Detective/Spy,Present,Nighttime,['Comedy']
Malcolm X,0.132677719,0.005702186,0.824831903,0.02699353,0.007154272,0.002640425,Law Person/Outlaw,Present,Daytime,['Drama']
Malibus Most Wanted,0.099138595,0.054235436,0.79304266,0.014344761,0.034641258,0.004597326,Realist,Past,Daytime,['Comedy']
Man in the Iron Mask,0.596898377,0.382390082,0.003045505,0.005760733,0.010262303,0.001642985,Realist,Past,Daytime,"['Adventure', 'Drama', 'Action']"
Man On Fire,0.110079907,0.881141424,0.002709202,0.000853471,0.003731414,0.001484647,Comedian,Past,Daytime,"['Thriller', 'Crime', 'Drama', 'Action']"
Man on the Moon,0.002459993,0.994448185,0.001333829,0.000232187,0.000645734,0.000880093,Realist,Past,Daytime,"['Comedy', 'Drama']"
Man Trouble,0.287107706,0.192834258,0.362425268,0.012852485,0.141225159,0.003555044,Detective/Spy,Past,Daytime,"['Comedy', 'Romance']"
Manhattan Murder Mystery,0.003633176,0.04945441,0.00264428,0.010071698,0.002288885,0.931907594,Detective/Spy,Past,Nighttime,"['Crime', 'Comedy']"
Manhunter,0.786943078,0.041661616,0.051238425,0.002299417,0.11664933,0.001208119,Realist,Past,Daytime,"['Thriller', 'Horror', 'Drama']"
Margaret,0.042447548,0.029562203,0.483694196,0.003201102,0.438094884,0.002999946,Monster/Killer/Victim,Past,Daytime,['Drama']
Margin Call,0.262770742,0.718549371,0.00849669,0.001529347,0.00290164,0.005752276,Realist,Past,Daytime,"['Thriller', 'Drama']"
Margot at the Wedding,0.802631378,0.154040337,0.017962912,0.004226993,0.019746978,0.001391471,Detective/Spy,Present,Daytime,"['Comedy', 'Drama']"
Mariachi El,0.730320513,0.017467087,0.016660899,0.00792958,0.225321606,0.00230037,Realist,Present,Daytime,"['Thriller', 'Crime', 'Action']"
Martha Marcy May Marlene,0.021038663,0.035963271,0.430920184,0.011080586,0.498535156,0.002462058,Detective/Spy,Present,Daytime,"['Thriller', 'Drama']"
Marty,0.915778518,0.032327577,0.042816307,0.002706001,0.004804744,0.001566891,Realist,Past,Daytime,"['Romance', 'Drama']"
Mary Poppins,0.050802104,0.003804446,0.88687396,0.007347746,0.04954873,0.001622997,Detective/Spy,Past,Daytime,"['Comedy', 'Fantasy', 'Drama', 'Family']"
Master and Commander,0.232491598,0.13626273,0.556090772,0.016334195,0.048681851,0.010138744,Fighter,Past,Daytime,"['Adventure', 'Drama', 'Action']"
Max Payne,0.090375692,0.030787325,0.37725082,0.006095646,0.493483752,0.002006706,Detective/Spy,Past,Daytime,"['Thriller', 'Crime', 'Drama', 'Action']"
Mean Streets,0.003481926,0.016234742,0.001797193,0.000670633,0.977282286,0.000533309,Monster/Killer/Victim,Present,Nighttime,"['Crime', 'Drama']"
Meet Joe Black,0.019167261,0.043694913,0.88531673,0.038026746,0.007561053,0.00623328,Detective/Spy,Past,Daytime,"['Romance', 'Fantasy', 'Drama']"
Meet John Doe,0.897329032,0.061142731,0.024880914,0.001444487,0.013735243,0.001467515,Realist,Present,Nighttime,"['Comedy', 'Drama']"
Megamind,0.000273622,0.000270257,0.997882307,0.001133821,0.000271055,0.000168875,Fighter,Past,Daytime,"['Comedy', 'Action', 'Sci-Fi', 'Family']"
Memento,0.724475622,0.020481443,0.008410706,0.001892034,0.24324885,0.001491394,Traveller/Explorer,Present,Daytime,"['Thriller', 'Drama']"
Men in Black 3,0.989880204,0.007048138,0.001307974,0.000463832,0.001052852,0.000246966,Detective/Spy,Past,Daytime,"['Comedy', 'Sci-Fi', 'Action']"
Men in Black,0.178770095,0.422243565,0.371688843,0.008284139,0.012154423,0.00685891,Detective/Spy,Past,Daytime,"['Comedy', 'Sci-Fi', 'Action']"
Metro,0.271762758,0.52580905,0.141218349,0.036355048,0.016300211,0.00855459,Detective/Spy,Past,Daytime,"['Thriller', 'Drama', 'Action']"
Miami Vice,0.010948061,0.094905607,0.006940186,0.872139633,0.008060552,0.007005988,Spouse/Lover/Ex,Past,Daytime,"['Thriller', 'Crime', 'Drama', 'Action']"
Midnight Cowboy,0.99697423,0.001496506,0.000349934,0.000158565,0.000886431,0.00013429,Law Person/Outlaw,Past,Nighttime,['Drama']
Midnight Express,0.612236857,0.310906887,0.039269701,0.010319881,0.023494048,0.003772617,Comedian,Past,Daytime,"['Thriller', 'Crime', 'Drama']"
Midnight in Paris,0.037581172,0.016204884,0.904767692,0.004479743,0.028903611,0.00806284,Realist,Past,Nighttime,"['Comedy', 'Fantasy', 'Romance']"
Mighty Joe Young,0.011807802,0.94015485,0.017337106,0.00136407,0.001727684,0.027608514,Detective/Spy,Past,Nighttime,"['Adventure', 'Action', 'Family']"
Mighty Morphin Power Rangers The Movie,0.004533789,0.003819605,0.965664983,0.002125993,0.001972558,0.021883231,Monster/Killer/Victim,Past,Daytime,"['Action', 'Family']"
Milk,0.880332291,0.114889979,0.001188358,0.000528227,0.002372713,0.00068839,Detective/Spy,Past,Daytime,['Drama']
Millers Crossing,0.02902407,0.003541002,0.960252583,0.003103522,0.003083774,0.000995125,Realist,Past,Daytime,"['Thriller', 'Crime', 'Drama']"
Mimic,0.025474951,0.963992,0.00328435,0.000790273,0.002959747,0.00349881,Detective/Spy,Past,Daytime,"['Thriller', 'Horror', 'Sci-Fi']"
Minis First Time,0.898333251,0.048447788,0.026314294,0.001471551,0.02405392,0.001379161,Monster/Killer/Victim,Future,Daytime,"['Crime', 'Comedy', 'Drama']"
Minority Report,0.000737778,0.996859193,0.000468817,0.000152171,0.00069323,0.001088787,Detective/Spy,Past,Daytime,"['Action', 'Thriller', 'Drama', 'Crime', 'Sci-Fi']"
Mirrors,0.013712217,0.864180148,0.002461363,0.000536151,0.11730507,0.001805053,Detective/Spy,Past,Daytime,"['Thriller', 'Horror']"
Misery,0.041929662,0.017836649,0.926059604,0.004129459,0.006573995,0.003470724,Monster/Killer/Victim,Past,Daytime,"['Thriller', 'Horror', 'Drama']"
Mission Impossible II,0.345020205,0.241198331,0.323810995,0.004492309,0.039079312,0.046398882,Detective/Spy,Present,Daytime,"['Thriller', 'Adventure', 'Action']"
Mission Impossible,0.810349405,0.168771878,0.003741454,0.001743832,0.014267515,0.001125861,Realist,Past,Daytime,"['Thriller', 'Adventure', 'Action']"
Mission to Mars,0.008031681,0.002482544,0.985924125,0.000819726,0.001777382,0.000964416,Realist,Past,Daytime,"['Thriller', 'Adventure', 'Drama', 'Sci-Fi']"
Moneyball,0.034440674,0.801802635,0.030070057,0.001395087,0.120650932,0.011640687,Fighter,Past,Nighttime,['Drama']
Monkeybone,0.084881008,0.443997383,0.384188116,0.004478471,0.019604763,0.062850237,Fighter,Past,Nighttime,"['Comedy', 'Fantasy']"
Monte Carlo,0.022205893,0.005745047,0.099373855,0.00338229,0.868218303,0.001074604,Detective/Spy,Past,Daytime,"['Adventure', 'Comedy', 'Romance']"
Moon,0.253387362,0.166632056,0.291887075,0.010364844,0.272134393,0.005594219,Detective/Spy,Past,Daytime,"['Thriller', 'Drama', 'Sci-Fi']"
Moonrise Kingdom,0.535869598,0.249222666,0.118581302,0.006265591,0.084311061,0.005749787,Detective/Spy,Past,Daytime,"['Romance', 'Comedy', 'Drama']"
Moonstruck,0.607135892,0.018993324,0.067694068,0.002313246,0.302211106,0.001652328,Detective/Spy,Past,Daytime,"['Romance', 'Comedy', 'Drama']"
Mr Blandings Builds His Dream House,0.001290836,0.000302206,0.99464041,0.002846246,0.00067117,0.000249002,Detective/Spy,Future,Daytime,['Comedy']
Mr Brooks,0.884992182,0.108068608,0.001836654,0.00193654,0.002192367,0.000973656,Child,Future,Daytime,"['Thriller', 'Crime', 'Drama']"
Mr Deeds Goes to Town,0.972353339,0.009471051,0.01265105,0.001459414,0.003517939,0.000547237,Detective/Spy,Past,Nighttime,['Comedy']
Mrs. Brown,0.04069759,0.895001113,0.005135785,0.001009022,0.055680893,0.002475598,Child,Past,Daytime,"['Romance', 'Drama']"
Mud,0.852100492,0.091667011,0.033096831,0.003443286,0.01826451,0.001427838,Law Person/Outlaw,Past,Daytime,['Drama']
